name,pos,team,espn_adp,ecr,injury_risk,rush_att,rush_yds,rush_tds,targets,rec,rec_yds,rec_tds,pass_yds,pass_tds,pass_int,fumbles,notes,player_id,base_points,espn_pos_rank
Trey McBride,TE,ARI,42.0,28.0,Low,0,0,0,120,90,950,6,0,0,0,1,ESPN VALUE STEAL: Buried at ADP 42! Drew 28% target share with Murray.,26,,
Mark Andrews,TE,BAL,38.0,30.0,Low,0,0,0,105,75,880,8,0,0,0,1,Lamar Jackson's primary red zone weapon. Proven elite TE ceiling.,27,,
Dalton Kincaid,TE,BUF,44.0,35.0,Low,0,0,0,115,85,870,6,0,0,0,1,ESPN VALUE STEAL: Diggs/Davis vacated 240+ targets. Kincaid effectively slots as WR2/slot.,28,,
Josh Allen,QB,BUF,27.0,26.0,Low,105,520,11,0,0,0,0,3950,28,14,4,Fantasy QB cheat code. Elite rushing TDs raise floor above all pocket passers.,29,,
Jalen Hurts,QB,PHI,29.0,27.0,Low,125,560,12,0,0,0,0,3800,24,12,4,Tush push and elite WR weapons guarantee top-3 QB finish.,30,,
Lamar Jackson,QB,BAL,35.0,32.0,Low,135,780,5,0,0,0,0,3700,25,8,3,Reigning MVP. Rushing floor makes him matchup-proof.,31,,
Patrick Mahomes,QB,KC,33.0,34.0,Questionable,60,360,2,0,0,0,0,4400,34,11,3,Q - Dealing with Surgery. Active status monitored.,32,,
Anthony Richardson,QB,IND,48.0,45.0,Medium,110,650,9,0,0,0,0,3300,19,12,4,Massive rushing ceiling (QB1 overall upside) paired with injury volatility.,33,,
C.J. Stroud,QB,HOU,45.0,50.0,Low,35,150,2,0,0,0,0,4350,29,8,3,"Phenomenal pocket passer with Diggs/Collins/Dell, but lacks QB rushing floor in 4pt TD leagues.",34,,
Mike Evans,WR,TB,31.0,29.0,Low,0,0,0,130,80,1150,11,0,0,0,1,Double-digit TD lock every year. Unshakable chemistry with Mayfield.,35,,
Davante Adams,WR,LV,28.0,31.0,Low,0,0,0,155,98,1180,8,0,0,0,1,Target monster who generates volume regardless of quarterback play.,36,,
Deebo Samuel,WR,SF,30.0,33.0,Medium,35,210,4,95,65,920,6,0,0,0,2,"Hybrid weapon with rushing TD bonus, but high soft-tissue injury frequency.",37,,
Michael Pittman Jr.,WR,IND,36.0,36.0,Questionable,1,5,0,140,100,1120,5,0,0,0,1,PPR chain-mover with safe double-digit target games.,38,,
DJ Moore,WR,CHI,37.0,37.0,Low,5,30,0,130,88,1180,7,0,0,0,1,Caleb Williams primary weapon; signed massive extension.,39,,
DK Metcalf,WR,SEA,39.0,38.0,Questionable,0,0,0,125,75,1100,8,0,0,0,1,Ryan Grubb college air-raid offense will unleash deep balls.,40,,
Malik Nabers,WR,NYG,46.0,39.0,Questionable,4,25,0,135,86,1120,6,0,0,0,1,Q - Dealing with Surgery. Active status monitored.,41,,
Jaylen Waddle,WR,MIA,40.0,40.0,Medium,2,10,0,115,80,1100,6,0,0,0,1,Blazing speed 1B receiver in Miami track team offense.,42,,
DeVonta Smith,WR,PHI,41.0,41.0,Low,0,0,0,115,82,1080,7,0,0,0,1,Slot-capable elite route runner. Boosted by Kellen Moore play designs.,43,,
Cooper Kupp,WR,LAR,34.0,42.0,Medium,2,10,0,120,85,1020,6,0,0,0,1,Fully healthy camp; high PPR floor when active alongside Puka.,44,,
Josh Jacobs,RB,GB,21.5,25.0,OUT,250,1080,10,45,34,240,1,0,0,0,2,OUT (ESPN official report),45,,
Isiah Pacheco,RB,KC,23.5,28.0,IR,230,1020,9,48,40,280,2,0,0,0,2,On Injured Reserve (IR),46,,
James Cook,RB,BUF,35.0,34.0,Low,220,1050,6,55,45,420,3,0,0,0,2,Joe Brady offense feeds him carries and screen passes in space.,47,,
Rachaad White,RB,TB,32.0,36.0,Questionable,230,880,6,70,58,480,3,0,0,0,2,Q - Dealing with Strain. Active status monitored.,48,,
Kenneth Walker III,RB,SEA,43.0,43.0,Medium,220,1000,9,40,30,240,1,0,0,0,2,Explosive home-run threat. New OC Grubb promises 3-down usage.,49,,
Alvin Kamara,RB,NO,47.0,44.0,Questionable,190,740,6,85,70,510,2,0,0,0,2,Q - Dealing with Sprain. Active status monitored.,50,,
Joe Mixon,RB,HOU,45.0,46.0,Low,230,950,9,45,35,250,2,0,0,0,1,Acquired to be bellcow in high-scoring Stroud offense.,51,,
Aaron Jones,RB,MIN,55.0,48.0,Medium,180,850,6,50,40,320,2,0,0,0,2,ESPN VALUE STEAL: High-efficiency pass catcher in O'Connell offense.,52,,
David Montgomery,RB,DET,58.0,52.0,Low,210,950,11,25,18,130,0,0,0,0,2,Goal-line sledgehammer behind the NFL's best offensive line.,53,,
D'Andre Swift,RB,CHI,62.0,55.0,Questionable,200,880,6,50,40,310,2,0,0,0,2,Q - Dealing with Cramps. Active status monitored.,54,,
James Conner,RB,ARI,60.0,56.0,IR,210,980,8,35,28,190,1,0,0,0,2,On Injured Reserve (IR),55,,
Rashee Rice,WR,KC,68.0,49.0,Low,4,25,0,120,88,1050,7,0,0,0,1,MASSIVE ESPN VALUE STEAL: Buried on ESPN queue due to offseason legal noise; ready for Week 1 role with Mahomes.,56,,
Tee Higgins,WR,CIN,50.0,51.0,Questionable,0,0,0,110,70,980,7,0,0,0,1,Q - Dealing with Bruise. Active status monitored.,57,,
George Pickens,WR,PIT,52.0,53.0,Low,2,15,0,115,70,1080,6,0,0,0,1,Diontae Johnson gone; Pickens is the lone boundary target.,58,,
Zay Flowers,WR,BAL,54.0,54.0,Questionable,6,40,1,115,80,950,5,0,0,0,1,Quick separation dynamo for Lamar Jackson.,59,,
Tank Dell,WR,HOU,56.0,57.0,IR,5,30,0,105,68,950,7,0,0,0,1,IR - Surgery (Placed on Injured Reserve),60,,
Amari Cooper,WR,CLE,57.0,58.0,OUT,0,0,0,120,72,1050,6,0,0,0,1,Retired / Unsigned Free Agent,61,,
Terry McLaurin,WR,WAS,64.0,59.0,Low,0,0,0,125,78,1040,5,0,0,0,1,Best QB of career in Jayden Daniels; high contested catch ability.,62,,
George Kittle,TE,SF,53.0,60.0,Questionable,1,5,0,85,62,880,6,0,0,0,1,Q - Dealing with Surgery. Active status monitored.,63,,
Kyle Pitts,TE,ATL,61.0,61.0,Low,0,0,0,100,68,850,5,0,0,0,1,Kirk Cousins brings accurate intermediate targets to unlock Pitts.,64,,
Evan Engram,TE,JAX,69.0,62.0,Low,0,0,0,120,92,840,4,0,0,0,1,PPR GOLD: 114 catches last year. High-floor TE option.,65,,
David Njoku,TE,CLE,78.0,68.0,Low,0,0,0,100,70,780,5,0,0,0,1,Athletic YAC beast in Kevin Stefanski two-TE formations.,66,,
Jake Ferguson,TE,DAL,82.0,72.0,Low,0,0,0,95,70,740,5,0,0,0,1,Dak Prescott trusted safety valve in pass-happy scheme.,67,,
Brock Bowers,TE,LV,88.0,78.0,Low,4,25,0,85,62,720,5,0,0,0,1,Generational college TE prospect. Expected to line up all over field.,68,,
Kyler Murray,QB,ARI,67.0,63.0,Low,95,540,4,0,0,0,0,3800,24,10,3,Fully healthy with Marvin Harrison Jr. + Trey McBride. Top-5 fantasy QB upside.,69,,
Joe Burrow,QB,CIN,65.0,65.0,Medium,35,120,1,0,0,0,0,4300,32,10,2,"Wrist fully healed; Chase & Higgins contract years. 4,000+ yd, 30+ TD upside.",70,,
Dak Prescott,QB,DAL,70.0,67.0,Low,45,180,2,0,0,0,0,4250,31,10,3,Led NFL in TD passes last season. High pass volume offense.,71,,
Jordan Love,QB,GB,72.0,69.0,Low,40,170,2,0,0,0,0,4100,30,11,3,Surrounded by young explosive receiving corps in LaFleur offense.,72,,
Jayden Daniels,QB,WAS,95.0,75.0,Low,115,650,6,0,0,0,0,3200,18,11,4,MASSIVE VALUE STEAL: Rushing cheat code QB buried on ESPN. Kingsbury offense.,73,,
Brock Purdy,QB,SF,85.0,82.0,Low,35,140,2,0,0,0,0,4200,29,9,3,Unmatched playmaking weapons around him. High TD rate in Shanahan offense.,74,,
Caleb Williams,QB,CHI,98.0,86.0,Low,60,280,3,0,0,0,0,3750,24,13,4,"#1 pick loaded with DJ Moore, Keenan Allen, Rome Odunze, Swift.",75,,
Christian Kirk,WR,JAX,73.0,66.0,IR,1,5,0,115,80,1000,6,0,0,0,1,Placed on IR with calf injury (misses at least 4 games).,76,,
Keenan Allen,WR,CHI,66.0,70.0,Medium,0,0,0,110,82,900,5,0,0,0,1,"Elite slot target, sharing targets with DJ Moore and Odunze.",77,,
Stefon Diggs,WR,HOU,59.0,71.0,Low,1,5,0,115,80,940,6,0,0,0,1,Veteran slot weapon for Stroud in 3-WR sets with Collins & Dell.,78,,
Xavier Worthy,WR,KC,92.0,73.0,Low,8,65,1,90,60,850,6,0,0,0,1,NFL Combine 4.21 speed. Handpicked by Andy Reid for vertical threat.,79,,
Ladd McConkey,WR,LAC,94.0,74.0,Low,2,15,0,105,75,880,5,0,0,0,1,ESPN VALUE STEAL: Herbert needs a top receiver; McConkey is elite route runner.,80,,
Rome Odunze,WR,CHI,96.0,76.0,Questionable,1,6,0,95,62,850,5,0,0,0,1,Top-10 pick talent; ascending role throughout season.,81,,
Calvin Ridley,WR,TEN,75.0,77.0,Low,4,25,0,115,70,950,6,0,0,0,1,Paid big money by Callahan to be lead alpha receiver.,82,,
Diontae Johnson,WR,CAR,86.0,79.0,OUT,0,0,0,120,82,920,5,0,0,0,1,Retired / Unsigned Free Agent,83,,
Chris Godwin,WR,TB,80.0,80.0,Low,2,10,0,115,82,980,4,0,0,0,1,Moving back to primary slot role in Coen scheme; PPR bump.,84,,
Jaxon Smith-Njigba,WR,SEA,90.0,81.0,Low,1,4,0,105,74,850,5,0,0,0,1,Grubb 3-WR sets elevate JSN to full-time player.,85,,
Brian Thomas Jr.,WR,JAX,105.0,83.0,Low,1,8,0,90,58,820,6,0,0,0,1,Deep ball replacement for Calvin Ridley; 4.33 speed with Trevor Lawrence.,86,,
Jayden Reed,WR,GB,76.0,84.0,Low,12,110,2,90,65,780,6,0,0,0,1,Deebo-lite gadget and slot role with high TD rate.,87,,
Courtland Sutton,WR,DEN,102.0,85.0,Low,0,0,0,110,68,880,7,0,0,0,1,Bo Nix top red zone target; clear WR1 in Denver.,88,,
Tony Pollard,RB,TEN,77.0,87.0,Low,190,820,6,50,40,280,1,0,0,0,2,Splitting with Tyjae Spears in pass-friendly offense.,89,,
Najee Harris,RB,PIT,71.0,88.0,Low,230,950,7,30,22,140,0,0,0,0,2,"Arthur Smith run-heavy scheme, but shares work with Jaylen Warren.",90,,
Brian Robinson Jr.,RB,WAS,84.0,89.0,Low,200,860,7,35,28,220,1,0,0,0,2,Lead early down and goal line rusher with Ekeler handling 3rd downs.,91,,
Zamir White,RB,LV,74.0,90.0,Low,220,920,6,30,22,140,0,0,0,0,2,Clear bellcow early down touches in Antonio Pierce physical scheme.,92,,
Raheem Mostert,RB,MIA,79.0,91.0,OUT,170,800,9,30,24,170,1,0,0,0,2,Unsigned Free Agent,93,,
Javonte Williams,RB,DEN,83.0,92.0,Low,195,810,5,45,36,220,2,0,0,0,2,Second year removed from major knee injury; looked explosive in preseason.,94,,
Zack Moss,RB,CIN,87.0,93.0,OUT,190,820,7,40,32,210,1,0,0,0,2,Released by Bengals after neck injury; Free Agent.,95,,
Jaylen Warren,RB,PIT,89.0,94.0,Medium,150,720,4,65,55,390,1,0,0,0,2,Full PPR asset; 55+ catches and elite missed tackles forced rate.,96,,
Chase Brown,RB,CIN,104.0,95.0,Low,150,680,5,45,35,290,2,0,0,0,1,Explosive speed weapon threatening Zack Moss for primary touches.,97,,
Tyjae Spears,RB,TEN,101.0,96.0,Low,150,690,4,60,48,360,1,0,0,0,1,Dynamic pass receiver alongside Tony Pollard.,98,,
Jerome Ford,RB,CLE,110.0,97.0,OUT,180,780,5,45,38,280,2,0,0,0,2,Released with injury settlement (hamstring); Free Agent.,99,,
Devin Singletary,RB,NYG,99.0,98.0,Low,210,860,5,35,28,180,1,0,0,0,2,Takes over Saquon's touches in Daboll offense with little competition.,100,,
Jonathon Brooks,RB,CAR,108.0,99.0,PUP,140,650,5,35,28,210,1,0,0,0,1,Starting on PUP (recovering from ACL); second-half rookie upside.,101,,
Trey Benson,RB,ARI,115.0,100.0,IR,120,540,4,25,20,150,1,0,0,0,1,On Injured Reserve (IR),102,,
Blake Corum,RB,LAR,118.0,101.0,Low,130,580,5,20,15,110,1,0,0,0,1,Elite handcuff with direct RB1 ceiling if Kyren Williams misses time.,103,,
Rico Dowdle,RB,DAL,130.0,102.0,Low,160,720,5,35,28,200,1,0,0,0,1,High upside in Cowboys high-scoring backfield ahead of aging Zeke.,104,,
Austin Ekeler,RB,WAS,103.0,103.0,OUT,120,480,3,60,48,380,2,0,0,0,1,Unsigned Free Agent,105,,
Chuba Hubbard,RB,CAR,125.0,104.0,Questionable,180,750,4,35,28,170,1,0,0,0,1,Clear starter for first 4-6 weeks while Brooks recovers.,106,,
J.K. Dobbins,RB,LAC,135.0,105.0,High,140,680,5,25,18,130,0,0,0,0,1,Roman run-heavy offense; looks explosive post-Achilles recovery.,107,,
Gus Edwards,RB,LAC,112.0,106.0,Low,170,720,7,15,10,70,0,0,0,0,1,Jim Harbaugh goal-line thumper.,108,,
Christian Watson,WR,GB,109.0,107.0,Medium,3,20,0,85,52,750,6,0,0,0,1,Fixed hamstring asymmetry in offseason; massive per-target TD ceiling.,109,,
Khalil Shakir,WR,BUF,116.0,108.0,Questionable,2,10,0,90,68,820,4,0,0,0,1,Highest catch-rate in NFL with Josh Allen. Starting slot WR.,110,,
Curtis Samuel,WR,BUF,120.0,109.0,Low,15,95,1,80,58,650,4,0,0,0,1,"Reunited with Joe Brady who orchestrated his 1,000-yard season in Carolina.",111,,
Adonai Mitchell,WR,IND,140.0,110.0,Low,0,0,0,75,48,680,5,0,0,0,1,Freak athlete rookie with elite separation metrics in camp.,112,,
Keon Coleman,WR,BUF,111.0,111.0,Questionable,0,0,0,85,52,720,5,0,0,0,1,Q - Dealing with Sprain. Active status monitored.,113,,
Dallas Goedert,TE,PHI,114.0,112.0,Medium,0,0,0,80,60,630,4,0,0,0,1,Steady TE1 producer in Kellen Moore offense.,114,,
Cole Kmet,TE,CHI,128.0,113.0,Low,0,0,0,70,52,540,4,0,0,0,1,"Solid red zone target, but Gerald Everett limits ceiling.",115,,
Pat Freiermuth,TE,PIT,132.0,114.0,Low,0,0,0,85,62,650,4,0,0,0,1,Arthur Smith heavily targets tight ends; Muth is de facto #2 pass target behind Pickens.,116,,
T.J. Hockenson,TE,MIN,122.0,115.0,PUP,0,0,0,75,58,620,4,0,0,0,1,Starting season on PUP (recovering from ACL); target return mid-season.,117,,
Braelon Allen,RB,NYJ,170.0,125.0,Low,90,420,3,20,15,100,0,0,0,0,1,Elite 14-team handcuff. 240lb rookie locked in as direct Breece backup.,118,,
Bucky Irving,RB,TB,165.0,128.0,Low,100,450,3,30,24,180,1,0,0,0,1,Earned clear RB2 role behind Rachaad White in camp.,119,,
Ray Davis,RB,BUF,160.0,130.0,Low,110,480,4,20,15,110,0,0,0,0,1,Powerful rookie goal-line complement to James Cook.,120,,
Kimani Vidal,RB,LAC,175.0,135.0,Low,80,380,2,20,15,110,1,0,0,0,1,Deep sleeper in Harbaugh/Roman run system if Dobbins/Edwards falter.,121,,
Trevor Lawrence,QB,JAX,124.0,118.0,Low,60,280,3,0,0,0,0,3900,23,12,4,Undervalued QB2 in 14-team leagues with deep weapons.,122,,
Jared Goff,QB,DET,117.0,120.0,Low,25,30,1,0,0,0,0,4300,28,10,2,High passing volume indoors behind best OL; zero rushing stats.,123,,
Tua Tagovailoa,QB,MIA,119.0,122.0,Medium,30,70,0,0,0,0,0,4450,28,12,3,Led NFL in passing yards; Tyreek & Waddle give him explosive weeks.,124,,
Justin Herbert,QB,LAC,126.0,126.0,Medium,45,200,2,0,0,0,0,3600,22,9,2,Plantar fascia in camp; Harbaugh run scheme reduces pass attempts.,125,,
San Francisco 49ers,DST,SF,138.0,138.0,Low,0,0,0,0,0,0,0,0,0,0,0,Elite defense across all categories with Bosa & Warner.,126,,
Baltimore Ravens,DST,BAL,142.0,140.0,Low,0,0,0,0,0,0,0,0,0,0,0,Turnover and sack machine.,127,,
New York Jets,DST,NYJ,145.0,141.0,Low,0,0,0,0,0,0,0,0,0,0,0,Sauce Gardner lockdown coverage leads to high sack totals.,128,,
Cleveland Browns,DST,CLE,148.0,144.0,Low,0,0,0,0,0,0,0,0,0,0,0,Myles Garrett terrorizes pocket; elite home defense.,129,,
Dallas Cowboys,DST,DAL,150.0,148.0,Low,0,0,0,0,0,0,0,0,0,0,0,Micah Parsons sack upside and Pick-6 ability with Diggs back.,130,,
Justin Tucker,K,BAL,152.0,150.0,Low,0,0,0,0,0,0,0,0,0,0,0,Most accurate kicker in NFL history tied to top-3 offense.,131,,
Harrison Butker,K,KC,154.0,152.0,Low,0,0,0,0,0,0,0,0,0,0,0,High volume of PATs and 50+ yard field goals with Mahomes.,132,,
Brandon Aubrey,K,DAL,156.0,153.0,Low,0,0,0,0,0,0,0,0,0,0,0,Elite 60+ yard range; huge kicker scoring bonus in this league.,133,,
Jake Elliott,K,PHI,158.0,155.0,Low,0,0,0,0,0,0,0,0,0,0,0,Consistent accuracy in top Eagles scoring machine.,134,,
Ka'imi Fairbairn,K,HOU,162.0,158.0,Low,0,0,0,0,0,0,0,0,0,0,0,High FG attempt volume indoors with Stroud offense.,135,,
DeAndre Hopkins,WR,TEN,113.0,116.0,Medium,0,0,0,95,62,850,5,0,0,0,0,Veteran boundary target recovering from knee sprain.,136,,
Tyler Lockett,WR,SEA,121.0,117.0,OUT,0,0,0,85,60,720,4,0,0,0,0,Retired / Unsigned Free Agent,137,,
Jakobi Meyers,WR,LV,123.0,119.0,Questionable,0,0,0,95,65,750,4,0,0,0,0,Reliable chain mover opposite Davante Adams.,138,,
Jerry Jeudy,WR,CLE,127.0,121.0,Low,0,0,0,90,58,760,3,0,0,0,0,Fresh start in Cleveland with Deshaun Watson.,139,,
Romeo Doubs,WR,GB,131.0,123.0,Low,0,0,0,85,54,680,5,0,0,0,0,Jordan Love favorite red zone target.,140,,
Dontayvion Wicks,WR,GB,136.0,124.0,Low,0,0,0,80,52,690,4,0,0,0,0,Underlying separation metrics rival elite WRs.,141,,
Rashod Bateman,WR,BAL,144.0,127.0,Low,0,0,0,75,48,620,3,0,0,0,0,Signed extension to be starting outside Z receiver.,142,,
Darnell Mooney,WR,ATL,146.0,129.0,Low,0,0,0,80,50,680,3,0,0,0,0,Kirk Cousins deep threat in 3-WR sets.,143,,
Demarcus Robinson,WR,LAR,155.0,132.0,Low,0,0,0,75,48,620,4,0,0,0,0,Clear WR3 in explosive McVay offense.,144,,
Wan'Dale Robinson,WR,NYG,157.0,133.0,Questionable,0,0,0,90,68,600,2,0,0,0,0,Full PPR short-target vacuum.,145,,
Adam Thielen,WR,CAR,149.0,134.0,Low,0,0,0,85,62,650,3,0,0,0,0,Veteran slot valve for Bryce Young.,146,,
Demario Douglas,WR,NE,159.0,136.0,Low,0,0,0,85,58,660,2,0,0,0,0,Patriots leading receiver in slot.,147,,
Josh Palmer,WR,LAC,134.0,137.0,Low,0,0,0,85,52,700,4,0,0,0,0,Most experienced WR with Justin Herbert.,148,,
Brandin Cooks,WR,DAL,139.0,139.0,Low,0,0,0,75,48,600,5,0,0,0,0,Veteran red zone target in Dallas pass offense.,149,,
Ezekiel Elliott,RB,DAL,129.0,142.0,Low,150,580,5,30,24,150,1,0,0,0,1,Short yardage and goal line thumper in Dallas.,150,,
Nick Chubb,RB,CLE,133.0,143.0,PUP,110,550,4,15,10,60,0,0,0,0,1,Starting season on PUP (recovering from multi-ligament knee); mid-season return.,151,,
Antonio Gibson,RB,NE,163.0,145.0,Low,100,420,2,45,36,280,1,0,0,0,1,Pass catching back paired with Rhamondre.,152,,
Rhamondre Stevenson,RB,NE,63.0,64.0,Low,220,920,6,50,40,280,1,0,0,0,1,Workhorse contract extension; bellcow role.,153,,
Marshawn Lloyd,RB,GB,168.0,146.0,Medium,80,380,3,20,15,120,1,0,0,0,1,Packers rookie runner with explosive burst.,154,,
Tyler Allgeier,RB,ATL,167.0,147.0,Low,120,520,4,15,12,80,0,0,0,0,1,Direct handcuff to Bijan Robinson with standalone touches.,155,,
Khalil Herbert,RB,CHI,172.0,149.0,Low,90,420,2,20,15,100,0,0,0,0,1,Efficient pure rusher behind Swift.,156,,
Dameon Pierce,RB,HOU,185.0,151.0,Low,90,360,2,10,8,50,0,0,0,0,1,Handcuff to Joe Mixon.,157,,
Will Shipley,RB,PHI,195.0,154.0,Low,60,260,1,20,16,120,1,0,0,0,1,Rookie pass catching handcuff to Saquon Barkley.,158,,
Luke Musgrave,TE,GB,151.0,156.0,OUT,0,0,0,60,42,450,3,0,0,0,0,OUT (ESPN official report),159,,
Hunter Henry,TE,NE,164.0,157.0,Low,0,0,0,65,45,480,4,0,0,0,0,Patriots security blanket and red zone option.,160,,
Tyler Conklin,TE,NYJ,166.0,159.0,Low,0,0,0,70,50,500,2,0,0,0,0,Rodgers loves big target tight ends.,161,,
Cade Otton,TE,TB,171.0,160.0,Low,0,0,0,65,45,440,3,0,0,0,0,Plays nearly 90% of snaps in Tampa Bay.,162,,
Isaiah Likely,TE,BAL,173.0,161.0,Low,0,0,0,55,38,440,4,0,0,0,0,High ceiling standalone TE2 who explodes if Andrews is out.,163,,
Chigoziem Okonkwo,TE,TEN,178.0,162.0,Low,0,0,0,60,42,430,2,0,0,0,0,YAC threat in new pass-heavy scheme.,164,,
Jonnu Smith,TE,MIA,182.0,163.0,Low,0,0,0,55,40,420,3,0,0,0,0,Athletic pass catcher added to McDaniel offense.,165,,
Kirk Cousins,QB,ATL,137.0,140.0,Medium,20,30,0,0,0,0,0,4100,27,10,1,"Achilles recovered; elite weapons in London, Bijan, Pitts.",166,,
Baker Mayfield,QB,TB,141.0,143.0,Low,40,160,1,0,0,0,0,4000,26,11,1,Thrived in Tampa with Evans and Godwin.,167,,
Matthew Stafford,QB,LAR,143.0,145.0,Low,20,-10,0,0,0,0,0,4200,26,11,1,Super Bowl MVP passing to Puka Nacua and Cooper Kupp.,168,,
Will Levis,QB,TEN,176.0,155.0,Low,50,210,2,0,0,0,0,3600,21,13,1,"Rocket arm with Ridley, Hopkins, and Boyd.",169,,
Deshaun Watson,QB,CLE,147.0,157.0,Medium,55,260,2,0,0,0,0,3500,21,11,1,Rushing floor when healthy in Stefanski offense.,170,,
Geno Smith,QB,SEA,153.0,158.0,Low,35,140,1,0,0,0,0,3900,24,10,1,Ryan Grubb offense provides passing volume spike.,171,,
Aaron Rodgers,QB,NYJ,158.0,160.0,Medium,20,20,0,0,0,0,0,3850,26,8,1,Hall of fame pocket passer with Garrett Wilson and Breece.,172,,
Bo Nix,QB,DEN,188.0,164.0,Low,55,240,2,0,0,0,0,3350,19,11,1,Sean Payton hand-picked rookie with sneaky rushing ability.,173,,
Kansas City Chiefs,DST,KC,169.0,165.0,Low,0,0,0,0,0,0,0,0,0,0,0,Steve Spagnuolo elite pressure scheme.,174,,
Buffalo Bills,DST,BUF,174.0,166.0,Low,0,0,0,0,0,0,0,0,0,0,0,Sean McDermott consistently produces top-8 fantasy defenses.,175,,
